noun	verb	frequency
researched	were	1
search	find	1
search	has	1
search	have	1
searching	based	1
service	needs	1
services	allows	1
services	do	1
services	is	1
services	need	1
services	provided	1
she	''s	1
she	did	1
she	had	1
she	uses	1
she	wanted	1
she	was	1
she	were	1
space	has	1
space	make	1
space	needed	1
spaces	being	1
spaces	do	1
student	makes	1
student	need	1
student	thought	1
student	was	1
student	work	1
students	asked	1
students	build	1
students	developed	1
students	did	1
students	find	1
students	getting	1
students	is	1
students	make	1
students	think	1
students	used	1
students	want	1
students	working	1
studies	looking	1
studies	makes	1
studies	use	1
study	found	1
study	needs	1
system	are	1
system	have	1
system	knows	1
system	tests	1
system	uses	1
system	were	1
systems	have	1
systems	used	1
team	allows	1
team	are	1
team	did	1
team	does	1
team	found	1
team	had	1
team	identify	1
team	included	1
team	includes	1
team	made	1
team	needs	1
team	use	1
teams	created	1
teams	doing	1
teams	known	1
testing	are	1
testing	finds	1
testing	focused	1
testing	have	1
testing	helped	1
testing	identify	1
testing	provides	1
their	developed	1
their	take	1
them	based	1
them	being	1
them	do	1
them	has	1
them	have	1
them	make	1
them	providing	1
them	think	1
them	want	1
them	was	1
them	were	1
themselves	do	1
they	identify	1
they	knew	1
they	made	1
they	provide	1
they	see	1
they	tested	1
they	think	1
they	thought	1
they	took	1
they	worked	1
time	allowed	1
time	do	1
time	finds	1
time	helping	1
time	improving	1
time	needed	1
time	taken	1
time	was	1
time	work	1
times	have	1
times	is	1
us	are	1
us	build	1
us	find	1
us	get	1
us	have	1
us	is	1
us	know	1
us	make	1
us	think	1
us	was	1
us	were	1
usability	testing	1
user	allows	1
user	did	1
user	does	1
user	focus	1
user	getting	1
user	looking	1
user	make	1
user	need	1
user	takes	1
user	test	1
user	using	1
user	wanted	1
user	working	1
users	creates	1
users	did	1
users	had	1
users	helps	1
users	included	1
users	makes	1
users	needed	1
users	think	1
users	use	1
users	using	1
users	work	1
ux	find	1
ux	identified	1
ux	were	1
way	allowed	1
way	is	1
way	used	1
way	was	1
ways	provides	1
we	ask	1
we	focused	1
we	improve	1
we	thought	1
we	understood	1
