verb	frequency
brainstormed	1
brainstorming	1
branching	1
breeds	1
browsed	1
bulleted	1
burst	1
busied	1
buying	1
buzzfeed	1
buzzing	1
cache	1
calculates	1
calculating	1
campaigns	1
capitalize	1
capitalizing	1
captioned	1
captivate	1
cards	1
carries	1
carved	1
catalog	1
cataloged	1
cataloging	1
catching	1
catch’	1
categorize	1
cater	1
caught	1
causes	1
caution	1
cautioned	1
celebrate	1
center	1
centralized	1
chairing	1
chalked	1
challenge	1
challenges	1
chasing	1
chooses	1
chrome/38.0.2125.122	1
circled	1
circulated	1
cites	1
clarified	1
clarifies	1
classified	1
classify	1
cleansed	1
clicking	1
climb	1
cling	1
close	1
cloudlink	1
codified	1
coexist	1
cofounded	1
coin	1
collaborated	1
collate	1
collated	1
collects	1
combat	1
combating	1
communicates	1
compensate	1
compensates	1
compete	1
competing	1
complicate	1
complicates	1
compose	1
compress	1
compressed	1
compressing	1
comprises	1
compromise	1
concatenated	1
conceded	1
concentrating	1
conceptualize	1
conceptualizing	1
concerning	1
concluded	1
concluding	1
concur	1
conform	1
confront	1
confronted	1
confuse	1
confuses	1
conjecture	1
connotes	1
consist	1
consist[ing	1
constituted	1
consults	1
containing	1
contemplating	1
contest	1
contextualized	1
contradicted	1
contrasted	1
control	1
controls	1
convinced	1
cook	1
coordinated	1
cope	1
correcting	1
correlate	1
correlated	1
correlating	1
corresponded	1
corrupted	1
cost	1
costs	1
counterbalance	1
countered	1
counts	1
coupling	1
crawling	1
creep	1
critiqued	1
crosses	1
crumble	1
crumbles	1
cry	1
cues	1
culled	1
cultivate	1
curate	1
curating	1
curved	1
customizing	1
cycling	1
daring	1
dates	1
dawned	1
dealing	1
debated	1
debates	1
decipher	1
declared	1
declares	1
decline	1
declining	1
declutter	1
decrease	1
dedicate	1
defeats	1
degrade	1
deleting	1
delight	1
delights	1
delving	1
demanding	1
demands	1
denote	1
depict	1
deployed	1
derives	1
deserves	1
designate	1
detected	1
deter	1
deviated	1
devise	1
devised	1
devoting	1
diagrams	1
dictated	1
dictates	1
differentiated	1
differs	1
digging	1
digitize	1
digs	1
diminished	1
disabling	1
disappear	1
disappointed	1
disbanded	1
discard	1
discarded	1
discontinued	1
discounting	1
discounts	1
discourage	1
discouraging	1
disengage	1
disgruntled	1
disliked	1
dismantled	1
dismiss	1
dismissing	1
disorienting	1
disprove	1
disrupt	1
distilling	1
distracting	1
disturbing	1
ditched	1
dive	1
diverge	1
diverges	1
divide	1
dividing	1
divvied	1
document.addeventlistener("domcontentloaded	1
document.createattribute("name	1
document.getelementsbytagname("form	1
documents	1
doi:10.1016/j.intcom.2010.04.004	1
